slug,port_name,country,type,url
Cartagena-de-Indias,Cartagena de Indias,Colombia,ocean,https://www.whatsinport.com/Cartagena-de-Indias.htm
Casablanca,Casablanca,Morocco,ocean,https://www.whatsinport.com/Casablanca.htm
Cassis,Cassis,France,ocean,https://www.whatsinport.com/Cassis.htm
Castaway-Cay,Castaway Cay,Bahamas,ocean,https://www.whatsinport.com/Castaway-Cay.htm
Castellon-de-la-Plana,Castellon de la Plana,Spain,ocean,https://www.whatsinport.com/Castellon-de-la-Plana.htm
Castro-Chiloe-Island,Castro Chiloe Island,Chile,ocean,https://www.whatsinport.com/Castro-Chiloe-Island.htm
Catania-Sicily,Catania Sicily,Italy,ocean,https://www.whatsinport.com/Catania-Sicily.htm
Catskill-us,Catskill us,USA,river,https://www.whatsinport.com/Catskill-us.htm
Cayman-Brac,Cayman Brac,Cayman Islands,ocean,https://www.whatsinport.com/Cayman-Brac.htm
Cayo-Coco,Cayo Coco,Cuba,ocean,https://www.whatsinport.com/Cayo-Coco.htm
Cayo-Levantado,Cayo Levantado,Dominican Republic,ocean,https://www.whatsinport.com/Cayo-Levantado.htm
Cebu,Cebu,Philippines,ocean,https://www.whatsinport.com/Cebu.htm
CelebrationKey,CelebrationKey,Bahamas,ocean,https://www.whatsinport.com/CelebrationKey.htm
Celukan-Bawang,Celukan Bawang,Indonesia,ocean,https://www.whatsinport.com/Celukan-Bawang.htm
Cernavoda-ro,Cernavoda ro,Romania,river,https://www.whatsinport.com/Cernavoda-ro.htm
Cesme,Cesme,Turkey,ocean,https://www.whatsinport.com/Cesme.htm
Ceuta,Ceuta,Morocco,ocean,https://www.whatsinport.com/Ceuta.htm
Chalon-sur-Saone-fr,Chalon sur Saone fr,France,river,https://www.whatsinport.com/Chalon-sur-Saone-fr.htm
Champagne-Bay-Espiritu-Santo,Champagne Bay Espiritu Santo,Vanuatu,ocean,https://www.whatsinport.com/Champagne-Bay-Espiritu-Santo.htm
Chan-May,Chan May,Vietnam,ocean,https://www.whatsinport.com/Chan-May.htm
Chania-Crete,Chania Crete,Greece,ocean,https://www.whatsinport.com/Chania-Crete.htm
Charleston-SC,Charleston SC,USA,ocean,https://www.whatsinport.com/Charleston-SC.htm
Charlestown,Charlestown,Saint Kitts and Nevis,ocean,https://www.whatsinport.com/Charlestown.htm
Charlotte-Amalie-Saint-Thomas,Charlotte Amalie Saint Thomas,US Virgin Islands,ocean,https://www.whatsinport.com/Charlotte-Amalie-Saint-Thomas.htm
Charlottetown-Prince-Edward-Island,Charlottetown Prince Edward Island,Canada,ocean,https://www.whatsinport.com/Charlottetown-Prince-Edward-Island.htm
Charlotteville,Charlotteville,Trinidad and Tobago,ocean,https://www.whatsinport.com/Charlotteville.htm
Chateau_de_La_Roche-Guyon-fr,Chateau de La Roche Guyon fr,France,river,https://www.whatsinport.com/Chateau_de_La_Roche-Guyon-fr.htm
Chateauneuf-du-Rhone-fr,Chateauneuf du Rhone fr,France,river,https://www.whatsinport.com/Chateauneuf-du-Rhone-fr.htm
Chateauneuf_du_Pape-fr,Chateauneuf du Pape fr,France,river,https://www.whatsinport.com/Chateauneuf_du_Pape-fr.htm
Chau_Doc-vn,Chau Doc vn,Vietnam,river,https://www.whatsinport.com/Chau_Doc-vn.htm
Chengdu-cn,Chengdu cn,China,river,https://www.whatsinport.com/Chengdu-cn.htm
Cherbourg,Cherbourg,France,ocean,https://www.whatsinport.com/Cherbourg.htm
